in:87 out:85 type:P q:0.00 q-aq:0.00 q-noVbv:-3.76 q-Rceq:1.08 tex:259 mv:117 misc:220 icu:24.00 pcu:20.00 scu:1780.00 ;
in:86 out:86 type:B q:1.14 q-aq:0.96 q-noVbv:1.14 q-Rceq:1.08 tex:177 mv:93 misc:225 icu:24.00 pcu:20.00 scu:1780.00 ;
in:85 out:87 type:b q:2.27 q-aq:1.94 q-noVbv:2.27 q-Rceq:1.08 tex:85 mv:56 misc:204 icu:0.00 pcu:8.00 scu:1816.00 ;
in:92 out:88 type:P q:0.00 q-aq:0.00 q-noVbv:-4.06 q-Rceq:1.08 tex:3939 mv:240 misc:270 icu:15.50 pcu:42.00 scu:1766.50 ;
in:90 out:89 type:B q:1.14 q-aq:0.88 q-noVbv:1.14 q-Rceq:1.08 tex:3070 mv:156 misc:272 icu:17.25 pcu:52.75 scu:1754.00 ;
in:88 out:90 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:597 mv:100 misc:230 icu:24.00 pcu:24.00 scu:1776.00 ;
in:89 out:91 type:b q:2.27 q-aq:1.67 q-noVbv:2.27 q-Rceq:1.08 tex:1870 mv:185 misc:246 icu:16.00 pcu:25.50 scu:1782.50 ;
in:91 out:92 type:b q:2.27 q-aq:1.78 q-noVbv:2.27 q-Rceq:1.08 tex:2283 mv:179 misc:266 icu:22.25 pcu:25.25 scu:1776.50 ;
in:97 out:93 type:P q:0.00 q-aq:0.00 q-noVbv:-4.52 q-Rceq:1.08 tex:11813 mv:600 misc:352 icu:22.75 pcu:30.75 scu:1770.50 ;
in:95 out:94 type:B q:1.14 q-aq:1.02 q-noVbv:1.14 q-Rceq:1.08 tex:5841 mv:300 misc:565 icu:14.00 pcu:92.25 scu:1717.75 ;
in:93 out:95 type:b q:2.27 q-aq:1.86 q-noVbv:2.27 q-Rceq:1.08 tex:793 mv:160 misc:269 icu:13.50 pcu:30.00 scu:1780.50 ;
in:94 out:96 type:b q:2.27 q-aq:1.95 q-noVbv:2.27 q-Rceq:1.08 tex:964 mv:187 misc:318 icu:14.75 pcu:35.00 scu:1774.25 ;
in:96 out:97 type:b q:2.27 q-aq:1.77 q-noVbv:2.27 q-Rceq:1.08 tex:671 mv:139 misc:270 icu:4.00 pcu:60.50 scu:1759.50 ;
in:102 out:98 type:P q:0.00 q-aq:0.00 q-noVbv:-4.96 q-Rceq:1.08 tex:4839 mv:207 misc:309 icu:4.50 pcu:10.75 scu:1808.75 ;
in:100 out:99 type:B q:1.14 q-aq:0.88 q-noVbv:1.14 q-Rceq:1.08 tex:593 mv:90 misc:276 icu:4.00 pcu:25.50 scu:1794.50 ;
in:98 out:100 type:b q:2.27 q-aq:1.94 q-noVbv:2.27 q-Rceq:1.08 tex:231 mv:102 misc:231 icu:4.00 pcu:10.50 scu:1809.50 ;
in:99 out:101 type:b q:2.27 q-aq:1.92 q-noVbv:2.27 q-Rceq:1.08 tex:204 mv:99 misc:228 icu:4.00 pcu:12.50 scu:1807.50 ;
in:101 out:102 type:b q:2.27 q-aq:1.77 q-noVbv:2.27 q-Rceq:1.08 tex:333 mv:72 misc:230 icu:0.00 pcu:12.25 scu:1811.75 ;
in:107 out:103 type:P q:0.00 q-aq:0.00 q-noVbv:-5.38 q-Rceq:1.08 tex:698 mv:89 misc:240 icu:4.00 pcu:5.25 scu:1814.75 ;
in:105 out:104 type:B q:1.14 q-aq:0.88 q-noVbv:1.14 q-Rceq:1.08 tex:250 mv:43 misc:207 icu:0.00 pcu:16.00 scu:1808.00 ;
in:103 out:105 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:217 mv:40 misc:192 icu:0.00 pcu:16.00 scu:1808.00 ;
in:104 out:106 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:591 mv:68 misc:241 icu:4.00 pcu:9.50 scu:1810.50 ;
in:106 out:107 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:204 mv:44 misc:188 icu:0.00 pcu:16.00 scu:1808.00 ;
in:109 out:108 type:P q:0.00 q-aq:0.00 q-noVbv:-5.78 q-Rceq:1.08 tex:712 mv:84 misc:218 icu:0.25 pcu:19.50 scu:1804.25 ;
in:108 out:109 type:b q:2.27 q-aq:1.77 q-noVbv:2.27 q-Rceq:1.08 tex:564 mv:59 misc:229 icu:4.00 pcu:24.00 scu:1796.00 ;
in:114 out:110 type:P q:0.00 q-aq:0.00 q-noVbv:-5.94 q-Rceq:1.08 tex:10663 mv:304 misc:350 icu:3.75 pcu:38.00 scu:1782.25 ;
in:112 out:111 type:B q:1.14 q-aq:0.93 q-noVbv:1.14 q-Rceq:1.08 tex:3109 mv:150 misc:308 icu:4.25 pcu:43.25 scu:1776.50 ;
in:110 out:112 type:b q:2.27 q-aq:2.00 q-noVbv:2.27 q-Rceq:1.08 tex:2858 mv:198 misc:269 icu:4.50 pcu:16.00 scu:1803.50 ;
in:111 out:113 type:b q:2.27 q-aq:1.99 q-noVbv:2.27 q-Rceq:1.08 tex:2840 mv:189 misc:310 icu:4.75 pcu:15.25 scu:1804.00 ;
in:113 out:114 type:b q:2.27 q-aq:2.05 q-noVbv:2.27 q-Rceq:1.08 tex:3483 mv:149 misc:274 icu:0.25 pcu:32.00 scu:1791.75 ;
in:119 out:115 type:P q:0.00 q-aq:0.00 q-noVbv:-6.30 q-Rceq:1.08 tex:11547 mv:274 misc:391 icu:0.75 pcu:50.50 scu:1772.75 ;
in:117 out:116 type:B q:1.14 q-aq:1.00 q-noVbv:1.14 q-Rceq:1.08 tex:4031 mv:243 misc:313 icu:4.25 pcu:36.25 scu:1783.50 ;
in:115 out:117 type:b q:2.27 q-aq:1.89 q-noVbv:2.27 q-Rceq:1.08 tex:3542 mv:270 misc:304 icu:4.75 pcu:26.25 scu:1793.00 ;
in:116 out:118 type:b q:2.27 q-aq:1.89 q-noVbv:2.27 q-Rceq:1.08 tex:3466 mv:241 misc:327 icu:4.25 pcu:36.25 scu:1783.50 ;
in:118 out:119 type:b q:2.27 q-aq:1.90 q-noVbv:2.27 q-Rceq:1.08 tex:1329 mv:98 misc:321 icu:0.00 pcu:42.25 scu:1781.75 ;
in:120 out:120 type:P q:0.00 q-aq:0.00 q-noVbv:-6.65 q-Rceq:1.08 tex:1989 mv:113 misc:298 icu:4.50 pcu:26.75 scu:1792.75 ;
in:123 out:121 type:P q:0.00 q-aq:0.00 q-noVbv:-6.72 q-Rceq:1.08 tex:2831 mv:124 misc:304 icu:4.25 pcu:32.00 scu:1787.75 ;
in:122 out:122 type:B q:1.14 q-aq:1.00 q-noVbv:1.14 q-Rceq:1.08 tex:915 mv:74 misc:236 icu:0.00 pcu:48.25 scu:1775.75 ;
in:121 out:123 type:b q:2.27 q-aq:1.96 q-noVbv:2.27 q-Rceq:1.08 tex:713 mv:55 misc:230 icu:0.00 pcu:20.25 scu:1803.75 ;
